mae,max_abs,mse,n_values,name,rmse,sample_count,token_unique,velocity_mae,velocity_max_abs,velocity_mse,velocity_n_values,velocity_rmse
0.002050322782575228,0.15183523297309875,2.9764235242992097e-05,237568,PnPBottleToCabinetClose,0.0054556608438384524,512,512,0.0024121562185592696,0.1578071415424347,4.17036086580053e-05,222720,0.006457833124044419
0.0019997037942082836,0.1221855878829956,2.61900096828944e-05,237568,PnPCanToDrawerClose,0.005117617578805044,512,512,0.0023808099137740697,0.13966822624206543,3.740656796336053e-05,222720,0.006116090905419942
0.0020916325305037485,0.13718926906585693,3.034422194857136e-05,237568,PnPCupToDrawerClose,0.0055085589720517076,512,512,0.0024799425722830657,0.14037445187568665,4.4194927532307115e-05,222720,0.006647926558883388
0.0018151986006846635,0.1361425518989563,2.166950155001867e-05,237568,PnPMilkToMicrowaveClose,0.004655051186616391,512,512,0.0021016537621013913,0.13800597190856934,2.9566008601995697e-05,222720,0.005437463434543326
0.0008798580342016259,0.05875393748283386,2.490936601149689e-06,237568,PnPNovelFromCuttingboardToBasketSplitA,0.0015782701293345475,512,512,0.0010413600563885833,0.08041226863861084,3.624723010374859e-06,222720,0.0019038705340371385
0.0008792897713885599,0.07437443733215332,2.6112034772762673e-06,237568,PnPNovelFromCuttingboardToCardboardboxSplitA,0.0016159218660802468,512,512,0.0010519955327242703,0.08152076601982117,3.813016842617873e-06,222720,0.0019526947643238749
0.0008266836037015624,0.03511449694633484,1.8172259692878745e-06,237568,PnPNovelFromCuttingboardToPanSplitA,0.0013480452400746329,512,512,0.0009840570669982119,0.0483090877532959,2.6607426769949965e-06,222720,0.0016311783093809814
0.0008857350857752552,0.08272910118103027,2.701095788928553e-06,237568,PnPNovelFromCuttingboardToPotSplitA,0.0016435010766435636,512,512,0.0010480225069008,0.10238730907440186,3.734293799740265e-06,222720,0.0019324320944706609
0.0008367452347216701,0.04992955923080444,1.968408712061683e-06,237568,PnPNovelFromCuttingboardToTieredbasketSplitA,0.0014029998973847729,512,512,0.001001045438914322,0.07015520334243774,2.876319948593283e-06,222720,0.0016959716827215255
0.0008508951051098815,0.03293070197105408,2.0356345738455002e-06,237568,PnPNovelFromPlacematToBasketSplitA,0.001426756662450013,512,512,0.001014502836288741,0.05040284991264343,2.9285020534312136e-06,222720,0.0017112866660589667
0.0008301705575170764,0.04886104166507721,1.8551748103528372e-06,237568,PnPNovelFromPlacematToBowlSplitA,0.001362048020575206,512,512,0.0009966366937923556,0.052621617913246155,2.73277107939385e-06,222720,0.001653109518269691
0.0008331607296292301,0.03692328929901123,1.929300823434134e-06,237568,PnPNovelFromPlacematToPlateSplitA,0.001388992736998338,512,512,0.0009945685439378422,0.047417283058166504,2.7923929231073017e-06,222720,0.0016710454581211434
0.0008397092474772272,0.09038481116294861,2.059474913873842e-06,237568,PnPNovelFromPlacematToTieredshelfSplitA,0.0014350870753629696,512,512,0.0010044734662947893,0.06971824169158936,2.934209260426638e-06,222720,0.0017129533736872811
0.0008300161464372307,0.03976285457611084,1.9117478522345826e-06,237568,PnPNovelFromPlateToBowlSplitA,0.0013826597022530823,512,512,0.0009954635519079276,0.06587880849838257,2.8854616774784554e-06,222720,0.001698664674819152
0.0008572573237513114,0.05262097716331482,2.191204952607652e-06,237568,PnPNovelFromPlateToCardboardboxSplitA,0.0014802719184689183,512,512,0.0010296313089164524,0.09619709849357605,3.3189609218665993e-06,222720,0.0018218015594094214
0.0008416912085140956,0.04125010967254639,1.9774958107839544e-06,237568,PnPNovelFromPlateToPanSplitA,0.0014062346215279846,512,512,0.0010040252568346098,0.05839115381240845,2.893326997905116e-06,222720,0.0017009782473344907
0.0008365127590891172,0.029801826924085617,1.8815496403776458e-06,237568,PnPNovelFromPlateToPlateSplitA,0.0013716958993806338,512,512,0.0009958060733516118,0.03385661542415619,2.7068089679216876e-06,222720,0.0016452382708658608
0.0008450248160423091,0.058563947677612305,2.1804652231283393e-06,237568,PnPNovelFromTrayToCardboardboxSplitA,0.0014766398420496243,512,512,0.001010048903484552,0.08337539434432983,3.2360897038192954e-06,222720,0.0017989134786918729
0.0008738378960948764,0.08261096477508545,2.4818833477403946e-06,237568,PnPNovelFromTrayToPlateSplitA,0.0015753994248254614,512,512,0.0010326374879751116,0.08088800311088562,3.414391851394843e-06,222720,0.0018478073090543946
0.0008232683226158685,0.036623477935791016,1.8656930218144967e-06,237568,PnPNovelFromTrayToPotSplitA,0.0013659037381215766,512,512,0.000977663925098649,0.04894459247589111,2.6584232377148405e-06,222720,0.001630467183881614
0.0008464589583735608,0.060473501682281494,2.2987523839481412e-06,237568,PnPNovelFromTrayToTieredbasketSplitA,0.001516163706183518,512,512,0.001016509896524684,0.07150471210479736,3.585833153788374e-06,222720,0.0018936296242371088
0.0008357507104237515,0.04132944345474243,1.9799852721776474e-06,237568,PnPNovelFromTrayToTieredshelfSplitA,0.001407119494633504,512,512,0.0009978746348777783,0.04102903604507446,2.8369726356669343e-06,222720,0.0016843315100261392
0.0019112679203487914,0.12242394685745239,2.2854569579193298e-05,237568,PnPPotatoToMicrowaveClose,0.004780645309913014,512,512,0.0022456179097300535,0.12913018465042114,3.265688544225874e-05,222720,0.005714620323543703
0.0020022902512490566,0.11876481771469116,2.614463517314763e-05,237568,PnPWineToCabinetClose,0.005113182489716911,512,512,0.0023677998144458097,0.12383243441581726,3.6346607586701655e-05,222720,0.006028814774622094
