mae,max_abs,mse,n_values,name,rmse,sample_count,token_unique,velocity_mae,velocity_max_abs,velocity_mse,velocity_n_values,velocity_rmse
0.019137066983658173,0.16387195885181427,0.0007567720774366803,7424,PnPBottleToCabinetClose,0.027509490679339745,16,486,0.007502183498364429,0.08945780992507935,0.00014028982341493293,6960,0.011844400508887435
0.016693985717540334,0.11080721020698547,0.0005582986323033945,7424,PnPCanToDrawerClose,0.023628343833273512,16,444,0.00638476796807847,0.06335794925689697,0.00010286590849830415,6960,0.0101422831994726
0.018519881822028544,0.10279470682144165,0.0006658699218144168,7424,PnPCupToDrawerClose,0.025804455464404144,16,467,0.006410965783430876,0.07782527804374695,0.00010805100968534831,6960,0.010394758760324758
0.018678697457838504,0.18881848454475403,0.0007129654296911703,7424,PnPMilkToMicrowaveClose,0.02670141250367048,16,477,0.00709554693367163,0.07741522789001465,0.0001254776191980445,6960,0.011201679302588719
0.003263736124373626,0.047030575573444366,2.9947342620387502e-05,7424,PnPNovelFromCuttingboardToBasketSplitA,0.005472416524752799,16,464,0.0027134250755065214,0.03421628475189209,1.9887059645510398e-05,6960,0.004459490962599924
0.0036978097409073912,0.08289045095443726,3.973357400292414e-05,7424,PnPNovelFromCuttingboardToCardboardboxSplitA,0.006303457305552576,16,470,0.003018951819588741,0.11360558867454529,2.842505874836754e-05,6960,0.005331515614566606
0.003325543233905858,0.05678544193506241,2.9675651730719295e-05,7424,PnPNovelFromCuttingboardToPanSplitA,0.0054475362991649075,16,459,0.0026537485156260462,0.03937879204750061,1.86490480257213e-05,6960,0.004318454356100259
0.0032670414039463642,0.08338909596204758,3.2802117232141985e-05,7424,PnPNovelFromCuttingboardToPotSplitA,0.005727313264711647,16,458,0.002578113365313908,0.062256284058094025,1.9435543695608825e-05,6960,0.004408576152864871
0.0033944617790784204,0.08110976219177246,3.9574230749575356e-05,7424,PnPNovelFromCuttingboardToTieredbasketSplitA,0.006290805254462687,16,459,0.0028901946430924834,0.0727475956082344,3.2040216523734385e-05,6960,0.0056604078054266005
0.0031132405495805744,0.05200415849685669,2.7660762865455725e-05,7424,PnPNovelFromPlacematToBasketSplitA,0.005259350042111261,16,460,0.0026148784618898985,0.06180751323699951,2.0092419631237368e-05,6960,0.00448245687444256
0.003580465780942177,0.07111846655607224,3.866255850163263e-05,7424,PnPNovelFromPlacematToBowlSplitA,0.006217922362142569,16,464,0.0029507381277026385,0.07742620259523392,2.694009697285048e-05,6960,0.005190385050538204
0.003188684441315202,0.07019137591123581,2.9274676813790723e-05,7424,PnPNovelFromPlacematToPlateSplitA,0.005410607804469912,16,466,0.002724068247744594,0.08913642913103104,2.41241458652802e-05,6960,0.004911633726702369
0.0030238885080491637,0.06682625412940979,2.5518364890586298e-05,7424,PnPNovelFromPlacematToTieredshelfSplitA,0.005051570537029677,16,467,0.00260667691206969,0.058501049876213074,1.92719521710092e-05,6960,0.0043899831629528145
0.0034076172969052768,0.08938524127006531,3.520889939070283e-05,7424,PnPNovelFromPlateToBowlSplitA,0.005933708738276831,16,462,0.0029237875562437526,0.08411812782287598,2.776007635598278e-05,6960,0.005268783195006488
0.003556282395834387,0.04327118396759033,3.4694167228863444e-05,7424,PnPNovelFromPlateToCardboardboxSplitA,0.005890175483707038,16,467,0.003134879795993322,0.047187983989715576,2.8374596953219217e-05,6960,0.0053267811061859125
0.003686926665217282,0.08040161430835724,4.069355141317814e-05,7424,PnPNovelFromPlateToPanSplitA,0.006379149740614194,16,462,0.003047264969113869,0.056636206805706024,2.7813813062806965e-05,6960,0.005273880266256237
0.003363781063697012,0.07105055451393127,3.335945911727317e-05,7424,PnPNovelFromPlateToPlateSplitA,0.00577576480799497,16,468,0.002797657021738846,0.05367254465818405,2.4258448595700175e-05,6960,0.00492528665111993
0.0030508095546008854,0.11087790131568909,3.1130675720384433e-05,7424,PnPNovelFromTrayToCardboardboxSplitA,0.00557948704814201,16,454,0.0027441491792463543,0.1622602939605713,3.400465201351561e-05,6960,0.005831350788069228
0.0032586277717035926,0.10076133161783218,3.1637604584741546e-05,7424,PnPNovelFromTrayToPlateSplitA,0.005624731512236077,16,465,0.0027991001679640313,0.06450790166854858,2.3180361345031193e-05,6960,0.004814598773006032
0.0032222588223280112,0.058323778212070465,3.0167595559714823e-05,7424,PnPNovelFromTrayToPotSplitA,0.005492503578489032,16,460,0.0026427435168318034,0.052095502614974976,1.9609815695782686e-05,6960,0.004428297155316329
0.003402119788821939,0.09887638688087463,4.044250700361169e-05,7424,PnPNovelFromTrayToTieredbasketSplitA,0.0063594423500501745,16,454,0.002932219295777533,0.1362033486366272,3.8255756161972066e-05,6960,0.006185123779034019
0.003069412178500239,0.047705963253974915,2.7660943830502638e-05,7424,PnPNovelFromTrayToTieredshelfSplitA,0.005259367246209627,16,464,0.0026256238393749486,0.07113517820835114,1.9844753283824798e-05,6960,0.004454745030170054
0.01959863498194048,0.1187947690486908,0.0007640654364688482,7424,PnPPotatoToMicrowaveClose,0.02764173360100354,16,467,0.0062374652692743365,0.07409930229187012,0.0001052241873142915,6960,0.010257884153873619
0.01708110044049935,0.10258036851882935,0.0005794972459569775,7424,PnPWineToCabinetClose,0.02407274903198589,16,467,0.006566886185481408,0.10960714519023895,0.00011444911115852976,6960,0.0106980891358471
