mae,max_abs,mse,n_values,rmse,task,time_group
0.020123629977323778,0.1913517415523529,0.0007877285535680798,237568,0.028066502339409518,PnPBottleToCabinetClose,t00_03
0.017978531271395058,0.18709975481033325,0.0006855404987642567,237568,0.026182828318656804,PnPBottleToCabinetClose,t04_07
0.01617185598261983,0.16883772611618042,0.000573859710901482,237568,0.02395536914558993,PnPBottleToCabinetClose,t08_11
0.01741713610637125,0.17575109004974365,0.0006164716482611694,237568,0.024828847098912372,PnPBottleToCabinetClose,t12_15
0.02059092266851118,0.16809427738189697,0.000781399605224717,237568,0.02795352581025723,PnPCanToDrawerClose,t00_03
0.017804981563728985,0.1836116909980774,0.0006270496428217563,237568,0.025040959303144844,PnPCanToDrawerClose,t04_07
0.015700622710284665,0.15366798639297485,0.0005408745685422029,237568,0.023256710183132155,PnPCanToDrawerClose,t08_11
0.0175444861553606,0.1951008439064026,0.0006398085279338134,237568,0.025294436699278625,PnPCanToDrawerClose,t12_15
0.020595628506314075,0.14812567830085754,0.000777041461000152,237568,0.027875463422159498,PnPCupToDrawerClose,t00_03
0.018399678733262214,0.1650264859199524,0.000659314451457944,237568,0.02567711922038654,PnPCupToDrawerClose,t04_07
0.016280153100274048,0.15306037664413452,0.0005530331193299069,237568,0.023516656210650078,PnPCupToDrawerClose,t08_11
0.017601907921049185,0.1539900302886963,0.0005957006291015765,237568,0.024406979106427255,PnPCupToDrawerClose,t12_15
0.021145579960543427,0.25483256578445435,0.0008681565958503782,237568,0.02946449721020839,PnPMilkToMicrowaveClose,t00_03
0.01755117752399961,0.21486762166023254,0.0006412925035951011,237568,0.025323753742190376,PnPMilkToMicrowaveClose,t04_07
0.015760245325037746,0.20033499598503113,0.0005302508516968666,237568,0.023027176372644273,PnPMilkToMicrowaveClose,t08_11
0.017474505148517398,0.20906488597393036,0.0006151757265888594,237568,0.024802736272211166,PnPMilkToMicrowaveClose,t12_15
0.003234800169213116,0.15756577253341675,3.172465527042546e-05,237568,0.005632464404718903,PnPNovelFromCuttingboardToBasketSplitA,t00_03
0.0030863356950232798,0.1070420891046524,2.9222755627238273e-05,237568,0.005405807583260643,PnPNovelFromCuttingboardToBasketSplitA,t04_07
0.0030280884144969194,0.29713934659957886,2.8957264074279907e-05,237568,0.0053811954131289365,PnPNovelFromCuttingboardToBasketSplitA,t08_11
0.0033171764287754963,0.3486623466014862,3.736078599651323e-05,237568,0.006112347012115169,PnPNovelFromCuttingboardToBasketSplitA,t12_15
0.0032859794103676557,0.13809914886951447,3.182448106646037e-05,237568,0.00564131908922553,PnPNovelFromCuttingboardToCardboardboxSplitA,t00_03
0.003150982077034478,0.1564045548439026,2.997665210554032e-05,237568,0.005475093798789234,PnPNovelFromCuttingboardToCardboardboxSplitA,t04_07
0.003059927909910226,0.10074770450592041,2.6875736651412737e-05,237568,0.0051841813868163155,PnPNovelFromCuttingboardToCardboardboxSplitA,t08_11
0.003300711417328293,0.10205692052841187,3.0245560192327092e-05,237568,0.005499596366309721,PnPNovelFromCuttingboardToCardboardboxSplitA,t12_15
0.003255735891639625,0.13988864421844482,3.094537381611151e-05,237568,0.005562856623724137,PnPNovelFromCuttingboardToPanSplitA,t00_03
0.003121136185250416,0.2284253090620041,3.054283764937828e-05,237568,0.005526557486299973,PnPNovelFromCuttingboardToPanSplitA,t04_07
0.003038925420665314,0.16505970060825348,2.644153671579688e-05,237568,0.005142133478994578,PnPNovelFromCuttingboardToPanSplitA,t08_11
0.0032523696805482442,0.10217761993408203,2.9052951327623007e-05,237568,0.0053900789722992936,PnPNovelFromCuttingboardToPanSplitA,t12_15
0.00340499287877189,0.18281906843185425,3.458944212283826e-05,237568,0.005881278952986184,PnPNovelFromCuttingboardToPotSplitA,t00_03
0.0032174840597013516,0.1801307201385498,3.2407293426109294e-05,237568,0.005692740414432165,PnPNovelFromCuttingboardToPotSplitA,t04_07
0.0031270285113407315,0.15478122234344482,2.8803607118953555e-05,237568,0.005366899208943052,PnPNovelFromCuttingboardToPotSplitA,t08_11
0.003373555186022306,0.17233794927597046,3.258108789197465e-05,237568,0.005707984573557872,PnPNovelFromCuttingboardToPotSplitA,t12_15
0.0031193039138690845,0.13006076216697693,2.735104582922039e-05,237568,0.005229822734015024,PnPNovelFromCuttingboardToTieredbasketSplitA,t00_03
0.0029729430417610924,0.1289697140455246,2.5910618044830274e-05,237568,0.005090247346134594,PnPNovelFromCuttingboardToTieredbasketSplitA,t04_07
0.0029151558544501356,0.07534405589103699,2.3626538852051677e-05,237568,0.004860713821245978,PnPNovelFromCuttingboardToTieredbasketSplitA,t08_11
0.0031432173522094368,0.13693112134933472,2.7074201675970996e-05,237568,0.0052032875834390506,PnPNovelFromCuttingboardToTieredbasketSplitA,t12_15
0.0031588058395081277,0.13390189409255981,2.7847391981532153e-05,237568,0.005277062817660233,PnPNovelFromPlacematToBasketSplitA,t00_03
0.0031013269570394552,0.10585743188858032,2.896446790961731e-05,237568,0.005381864724202691,PnPNovelFromPlacematToBasketSplitA,t04_07
0.0030560652153558067,0.0673731192946434,2.7048146388415996e-05,237568,0.005200783247590308,PnPNovelFromPlacematToBasketSplitA,t08_11
0.0032174714994024967,0.08401478826999664,2.8258054567257613e-05,237568,0.005315830562316449,PnPNovelFromPlacematToBasketSplitA,t12_15
0.003171469118361663,0.08525845408439636,2.784959491271866e-05,237568,0.0052772715405518655,PnPNovelFromPlacematToBowlSplitA,t00_03
0.003073018539960123,0.07526717334985733,2.7301697103685037e-05,237568,0.00522510259264687,PnPNovelFromPlacematToBowlSplitA,t04_07
0.0030359366196913667,0.07421864569187164,2.6279101832880355e-05,237568,0.005126314644350301,PnPNovelFromPlacematToBowlSplitA,t08_11
0.0032772009325517898,0.10304579138755798,2.962080526038797e-05,237568,0.005442499909084792,PnPNovelFromPlacematToBowlSplitA,t12_15
0.00321826303944263,0.16254311800003052,2.9793600550811982e-05,237568,0.005458351449917088,PnPNovelFromPlacematToPlateSplitA,t00_03
0.003106354468540512,0.16229498386383057,2.8889098066267313e-05,237568,0.005374857957775937,PnPNovelFromPlacematToPlateSplitA,t04_07
0.0030479412446381914,0.1927371621131897,2.707510565341339e-05,237568,0.005203374448702822,PnPNovelFromPlacematToPlateSplitA,t08_11
0.003244338577559255,0.2739177346229553,3.0207966991082955e-05,237568,0.005496177489044814,PnPNovelFromPlacematToPlateSplitA,t12_15
0.0030669120338982715,0.1547056883573532,2.6763482879064202e-05,237568,0.005173343491308518,PnPNovelFromPlacematToTieredshelfSplitA,t00_03
0.0029337446937646745,0.11036688834428787,2.5571250165394134e-05,237568,0.0050568023656649,PnPNovelFromPlacematToTieredshelfSplitA,t04_07
0.0028802957576728287,0.10758814215660095,2.3805887817044142e-05,237568,0.004879127772158067,PnPNovelFromPlacematToTieredshelfSplitA,t08_11
0.0030965675071610147,0.11144530773162842,2.653262254089628e-05,237568,0.00515098267720794,PnPNovelFromPlacematToTieredshelfSplitA,t12_15
0.0031606713549827614,0.08290703594684601,2.723426478003329e-05,237568,0.005218645876090204,PnPNovelFromPlateToBowlSplitA,t00_03
0.0030588948649234466,0.08961623162031174,2.7045290270365242e-05,237568,0.0052005086549649394,PnPNovelFromPlateToBowlSplitA,t04_07
0.0030260313731046468,0.07820302248001099,2.595088365739969e-05,237568,0.005094200983216082,PnPNovelFromPlateToBowlSplitA,t08_11
0.003232710705090504,0.07696154713630676,2.821871995603321e-05,237568,0.005312129512355023,PnPNovelFromPlateToBowlSplitA,t12_15
0.0033037737083935854,0.19467873871326447,3.229753875240668e-05,237568,0.005683092358250628,PnPNovelFromPlateToCardboardboxSplitA,t00_03
0.003183019057563371,0.19098040461540222,3.06868728245916e-05,237568,0.005539573343190936,PnPNovelFromPlateToCardboardboxSplitA,t04_07
0.003070846448789533,0.06759113073348999,2.6920458275390732e-05,237568,0.00518849287128649,PnPNovelFromPlateToCardboardboxSplitA,t08_11
0.0033245126536160003,0.11166170239448547,3.045050177652037e-05,237568,0.0055181973303353666,PnPNovelFromPlateToCardboardboxSplitA,t12_15
0.003286116762445199,0.12681688368320465,3.2164098709365266e-05,237568,0.005671340115824942,PnPNovelFromPlateToPanSplitA,t00_03
0.003102546249963767,0.10543020814657211,2.8571690372491872e-05,237568,0.005345249327439448,PnPNovelFromPlateToPanSplitA,t04_07
0.0030409578810727065,0.1053958535194397,2.6673010715234476e-05,237568,0.005164592018275449,PnPNovelFromPlateToPanSplitA,t08_11
0.003255798852887335,0.16904056072235107,2.9165768339306552e-05,237568,0.005400534079080193,PnPNovelFromPlateToPanSplitA,t12_15
0.003197409233470461,0.14136725664138794,2.907162970598922e-05,237568,0.0053918113566768285,PnPNovelFromPlateToPlateSplitA,t00_03
0.0031003131740065773,0.11041927337646484,2.8500740407667392e-05,237568,0.005338608471096883,PnPNovelFromPlateToPlateSplitA,t04_07
0.0030566411581264006,0.06707465648651123,2.6647023867709076e-05,237568,0.0051620755387449604,PnPNovelFromPlateToPlateSplitA,t08_11
0.0032661132786630386,0.0668623223900795,2.8780296203402615e-05,237568,0.005364727039039602,PnPNovelFromPlateToPlateSplitA,t12_15
0.003372565078750305,0.17891386151313782,3.567855225705237e-05,237568,0.005973152622949824,PnPNovelFromTrayToCardboardboxSplitA,t00_03
0.0031992459125278865,0.150191068649292,3.107745374325239e-05,237568,0.005574715575099091,PnPNovelFromTrayToCardboardboxSplitA,t04_07
0.003108970446302095,0.10581594705581665,2.843631170575687e-05,237568,0.005332570834574715,PnPNovelFromTrayToCardboardboxSplitA,t08_11
0.0033502307653816414,0.27209824323654175,3.19793189039018e-05,237568,0.005655025986138508,PnPNovelFromTrayToCardboardboxSplitA,t12_15
0.003261629478405152,0.23905467987060547,3.28387558897388e-05,237568,0.005730510962360931,PnPNovelFromTrayToPlateSplitA,t00_03
0.0031343185948210926,0.20891541242599487,3.274296764160378e-05,237568,0.005722147118137018,PnPNovelFromTrayToPlateSplitA,t04_07
0.0030744166720828732,0.1759415864944458,2.8987100556338218e-05,237568,0.005383966990643444,PnPNovelFromTrayToPlateSplitA,t08_11
0.0033185532202695037,0.23836755752563477,3.3034705471888294e-05,237568,0.005747582576343579,PnPNovelFromTrayToPlateSplitA,t12_15
0.0033004197357052846,0.08987393230199814,3.0331924017163346e-05,237568,0.005507442602257725,PnPNovelFromTrayToPotSplitA,t00_03
0.003190187766195124,0.11595158278942108,3.0229330096612013e-05,237568,0.005498120596768683,PnPNovelFromTrayToPotSplitA,t04_07
0.003092336219724907,0.07051077485084534,2.7260750854140155e-05,237568,0.005221182897978211,PnPNovelFromTrayToPotSplitA,t08_11
0.003275959108038531,0.06181737035512924,2.8839980574248514e-05,237568,0.00537028682420674,PnPNovelFromTrayToPotSplitA,t12_15
0.0031597535962454024,0.10987593978643417,2.823939260759438e-05,237568,0.005314074953140422,PnPNovelFromTrayToTieredbasketSplitA,t00_03
0.0030680536344677807,0.13600336015224457,2.9142672211020086e-05,237568,0.005398395336673675,PnPNovelFromTrayToTieredbasketSplitA,t04_07
0.0030067149089572165,0.09340164065361023,2.5943457537112962e-05,237568,0.005093472051274353,PnPNovelFromTrayToTieredbasketSplitA,t08_11
0.0031699880263349085,0.08055068552494049,2.7233436334953966e-05,237568,0.0052185665019192735,PnPNovelFromTrayToTieredbasketSplitA,t12_15
0.0031143162847310645,0.1447429656982422,2.8178060050381965e-05,237568,0.005308301051219869,PnPNovelFromTrayToTieredshelfSplitA,t00_03
0.002999754344651484,0.13105465471744537,2.7638709597144155e-05,237568,0.005257253046710245,PnPNovelFromTrayToTieredshelfSplitA,t04_07
0.0029157582589063235,0.08555902540683746,2.4316289477194208e-05,237568,0.0049311549840979655,PnPNovelFromTrayToTieredshelfSplitA,t08_11
0.00309596507077126,0.11550623178482056,2.650206452138976e-05,237568,0.005148015590631963,PnPNovelFromTrayToTieredshelfSplitA,t12_15
0.022614508736358178,0.2481815218925476,0.0009332377275967701,237568,0.03054893987680702,PnPPotatoToMicrowaveClose,t00_03
0.018801155986958553,0.20124274492263794,0.0006996416382332647,237568,0.0264507398428336,PnPPotatoToMicrowaveClose,t04_07
0.0170025018420687,0.20107316970825195,0.0005855708720075338,237568,0.02419857169354286,PnPPotatoToMicrowaveClose,t08_11
0.018755538016722636,0.19938349723815918,0.0006839624736264788,237568,0.026152676223026944,PnPPotatoToMicrowaveClose,t12_15
0.019696234492601602,0.15100783109664917,0.0007276645786994457,237568,0.026975258640084356,PnPWineToCabinetClose,t00_03
0.017355484206641666,0.17070063948631287,0.0006037807127049883,237568,0.024571949713138114,PnPWineToCabinetClose,t04_07
0.015676803139662354,0.20136311650276184,0.000519065302963782,237568,0.022783004695688888,PnPWineToCabinetClose,t08_11
0.016773488500687543,0.15414702892303467,0.0005598551175157325,237568,0.023661257733174974,PnPWineToCabinetClose,t12_15
