mae,max_abs,mse,n_values,phase,rmse,task
0.016803836194818806,0.1751318871974945,0.000623731840792301,251024,traj_q1,0.024974623936954505,PnPBottleToCabinetClose
0.017286470020542222,0.17575109004974365,0.0005576410481957163,224576,traj_q2,0.023614424578966904,PnPBottleToCabinetClose
0.01895334633883823,0.1913517415523529,0.0007307890957769847,251952,traj_q3,0.027033111100592633,PnPBottleToCabinetClose
0.018659742865789385,0.15543171763420105,0.0007491827885066029,222720,traj_q4,0.02737120363642423,PnPBottleToCabinetClose
0.016305029382295475,0.11912979185581207,0.0005872344632151967,241744,traj_q1,0.024232921062372913,PnPCanToDrawerClose
0.016820904799112815,0.1951008439064026,0.0005432220710269881,236640,traj_q2,0.0233071248983436,PnPCanToDrawerClose
0.01875044336254127,0.15402555465698242,0.0006782340893039242,233392,traj_q3,0.026042927817431054,PnPCanToDrawerClose
0.019795999881392228,0.12686122953891754,0.0007811120659859112,238496,traj_q4,0.02794838217117247,PnPCanToDrawerClose
0.01653536859420669,0.10684175044298172,0.0005966953694106133,232000,traj_q1,0.024427348800281485,PnPCupToDrawerClose
0.018048068316828446,0.1650264859199524,0.0006097140244911868,239424,traj_q2,0.024692387986810567,PnPCupToDrawerClose
0.01873466108099121,0.15135815739631653,0.0006453046960574393,237568,traj_q3,0.025402848187898917,PnPCupToDrawerClose
0.019501112552935067,0.13295072317123413,0.0007311726550986465,241280,traj_q4,0.02704020442043008,PnPCupToDrawerClose
0.01688587234612137,0.2470519095659256,0.0006222746163572835,233392,traj_q1,0.02494543277550589,PnPMilkToMicrowaveClose
0.018069399422888897,0.18901938199996948,0.000653896708849804,240352,traj_q2,0.025571404123547928,PnPMilkToMicrowaveClose
0.017537820896875393,0.22803142666816711,0.0006180293478774774,236640,traj_q3,0.024860196054687048,PnPMilkToMicrowaveClose
0.019402515910994816,0.25483256578445435,0.000758953099359673,239888,traj_q4,0.027549103422065718,PnPMilkToMicrowaveClose
0.003215668692287905,0.29713934659957886,3.38069198421565e-05,226432,traj_q1,0.00581437183556027,PnPNovelFromCuttingboardToBasketSplitA
