mae,max_abs,mse,n_values,name,rmse,sample_count,token_unique,velocity_mae,velocity_max_abs,velocity_mse,velocity_n_values,velocity_rmse
0.017922788334427477,0.1913517415523529,0.0006659001028737461,950272,PnPBottleToCabinetClose,0.025805040261037106,2048,507,0.006712927645775702,0.13108479976654053,0.00011488939296890133,890880,0.010718646974730595
0.017910253274471356,0.1951008439064026,0.0006472830861306224,950272,PnPCanToDrawerClose,0.02544175870749942,2048,503,0.006489019343015127,0.16909348964691162,0.00010977367409002195,890880,0.010477293261621628
0.01821934206522488,0.1650264859199524,0.0006462724152223952,950272,PnPCupToDrawerClose,0.02542188850621439,2048,507,0.006573817192842778,0.13029015064239502,0.00011043850516128286,890880,0.010508972602556487
0.017982876989524544,0.25483256578445435,0.0006637189194328012,950272,PnPMilkToMicrowaveClose,0.02576274285538714,2048,510,0.006644088871158129,0.14548110961914062,0.00011316508769402467,890880,0.010637908050647207
0.003166600176877203,0.3486623466014862,3.181636524211421e-05,950272,PnPNovelFromCuttingboardToBasketSplitA,0.00564059972362108,2048,496,0.0026339083711470605,0.4436582326889038,2.1559427894051366e-05,890880,0.00464321310021965
0.003199400203660163,0.1564045548439026,2.9730607503935112e-05,950272,PnPNovelFromCuttingboardToCardboardboxSplitA,0.005452578060324778,2048,496,0.002644057274045116,0.2587648630142212,2.048727636485004e-05,890880,0.004526287260531532
0.0031670417945258997,0.2284253090620041,2.9245674877227414e-05,950272,PnPNovelFromCuttingboardToPanSplitA,0.00540792704067163,2048,494,0.0026407462110361766,0.4040227234363556,2.0748634296728577e-05,890880,0.004555066881696533
0.0032807651589590696,0.18281906843185425,3.209535763996893e-05,950272,PnPNovelFromCuttingboardToPotSplitA,0.005665276483982837,2048,497,0.002688192255473805,0.11283287405967712,2.0982499630314067e-05,890880,0.004580665850104553
0.0030376550405724376,0.13693112134933472,2.5990601100518322e-05,950272,PnPNovelFromCuttingboardToTieredbasketSplitA,0.005098097792365141,2048,495,0.0025745796004979795,0.1910952925682068,1.9271330885859262e-05,890880,0.004389912400704513
0.003133417377826472,0.13390189409255981,2.802951521170577e-05,950272,PnPNovelFromPlacematToBasketSplitA,0.0052942908129140175,2048,494,0.00264068819959195,0.13281038403511047,2.001687955667572e-05,890880,0.004474022748788356
0.0031394063026412354,0.10304579138755798,2.776279977741809e-05,950272,PnPNovelFromPlacematToBowlSplitA,0.005269041637472425,2048,495,0.0026345563364103476,0.10453040897846222,1.9485148033245707e-05,890880,0.00441419845875168
0.003154224332545147,0.2739177346229553,2.899144281539393e-05,950272,PnPNovelFromPlacematToPlateSplitA,0.005384370233870803,2048,495,0.0026539898615276303,0.09980602562427521,2.009368985989314e-05,890880,0.0044825985610907814
0.002994379998124197,0.1547056883573532,2.5668310850599695e-05,950272,PnPNovelFromPlacematToTieredshelfSplitA,0.005066390317632436,2048,496,0.0025804446955663314,0.1641988456249237,1.9045608652610955e-05,890880,0.004364127478959678
0.0031195770745253396,0.08961623162031174,2.711228966595775e-05,950272,PnPNovelFromPlateToBowlSplitA,0.005206946289905221,2048,494,0.002630519526810178,0.10002417862415314,1.9456927654849287e-05,890880,0.004411000754346942
0.0032205379670906223,0.19467873871326447,3.00888429072274e-05,950272,PnPNovelFromPlateToCardboardboxSplitA,0.0054853297901974315,2048,495,0.002693744550377516,0.248219296336174,2.185059823468737e-05,890880,0.004674462347124786
0.003171354936592252,0.16904056072235107,2.9143642034099532e-05,950272,PnPNovelFromPlateToPanSplitA,0.005398485161052083,2048,494,0.0026526508028919594,0.17666855454444885,2.0635650579135873e-05,890880,0.004542647969976969
0.0031551192110666195,0.14136725664138794,2.824992254619207e-05,950272,PnPNovelFromPlateToPlateSplitA,0.005315065620120985,2048,496,0.0026722288401297895,0.14582538604736328,2.0526164124258847e-05,890880,0.004530580991910292
0.003257753050740482,0.27209824323654175,3.1792909152490884e-05,950272,PnPNovelFromTrayToCardboardboxSplitA,0.005638520120784432,2048,497,0.0027236163690341317,0.23170000314712524,2.2496587002613634e-05,890880,0.004743056715095618
0.0031972294913946557,0.23905467987060547,3.1900882389892277e-05,950272,PnPNovelFromTrayToPlateSplitA,0.005648086613171958,2048,498,0.0026247818940195056,0.3231116533279419,2.0521908486183775e-05,890880,0.00453011131057326
0.0032147257074159616,0.11595158278942108,2.9165496385541008e-05,950272,PnPNovelFromTrayToPotSplitA,0.0054005089006075166,2048,494,0.0026744973868897525,0.11122443526983261,2.0509483339005446e-05,890880,0.0045287397075793
0.003101127541501327,0.13600336015224457,2.763973967267032e-05,950272,PnPNovelFromTrayToTieredbasketSplitA,0.0052573510128838,2048,495,0.0026186439954558904,0.19499064981937408,2.0220598981292567e-05,890880,0.004496732033520851
0.0030314484897650327,0.1447429656982422,2.665878091152751e-05,950272,PnPNovelFromTrayToTieredshelfSplitA,0.005163214203529378,2048,496,0.0026342100022539146,0.18195311725139618,2.043137116549098e-05,890880,0.0045201074285343016
0.019293426145527016,0.2481815218925476,0.0007256031778660105,950272,PnPPotatoToMicrowaveClose,0.026937022438755374,2048,507,0.0063936446844183,0.14859747886657715,0.00010744216728350785,890880,0.010365431360223647
0.01737550258489829,0.20136311650276184,0.000602591427970988,950272,PnPWineToCabinetClose,0.024547737736316723,2048,508,0.0066165335883247075,0.12352918088436127,0.00011210152693327328,890880,0.010587800854439664
