scale,e256_accuracy,e128_accuracy,raw_gap,gap_contribution,gap_share
s1,0.606742,0.837084,-0.230342,-0.00743,0.055
s2,0.364894,0.630043,-0.265149,-0.01711,0.126
s4,0.397264,0.639984,-0.24272,-0.03132,0.231
s8,0.49184,0.663794,-0.171954,-0.04438,0.328
s16,0.562896,0.630862,-0.067966,-0.03508,0.259
