metric,current,first_e256,delta,assessment
Action loss（共同后期 25250–30250）,1.689070,1.691147,-0.002077 (-0.12%),统计等价
Token accuracy（共同后期 25250–30250）,45.78%,45.72%,+0.058 pp,统计等价
Base LR（共同后期 5k 均值）,8.65979481e-05,8.65979481e-05,+0.00e+00,逐点一致
Model time（秒，共同后期 5k 均值）,0.8712,0.8799,-0.0087,当前略快
Data time（秒，共同后期 5k 均值）,0.0173,0.0166,+0.0007,无持续卡顿
Validation MSE（共同 step 30000）,0.00062160,0.00087230,-28.74%,单点仅作补充
