step,series,action_loss,token_accuracy
9250,当前重启 E256,1.8608688983050259,0.4096693857149644
9500,当前重启 E256,1.8520337559960105,0.4129455956545743
9750,当前重启 E256,1.8407105640931563,0.4157292301004583
10000,当前重启 E256,1.8191024390133945,0.4227914105762135
10250,当前重启 E256,1.8201021714644,0.42219573530283844
10500,当前重启 E256,1.8131958137858997,0.4228658676147461
10750,当前重启 E256,1.8164881467819214,0.4218921715562994
11000,当前重启 E256,1.8121966231953015,0.4231293418190696
11250,当前重启 E256,1.8064496192065151,0.42503091421994293
11500,当前重启 E256,1.7969563765959307,0.42677784778855066
11750,当前重启 E256,1.7962520881132646,0.42664038051258435
12000,当前重启 E256,1.7889508984305642,0.4297504885630174
12250,当前重启 E256,1.7851945703679866,0.43025452169505035
12500,当前重启 E256,1.7864626537669788,0.4290058937939731
12750,当前重启 E256,1.7788716879757969,0.4316577911376953
13000,当前重启 E256,1.781970826062289,0.4315260567448356
13250,当前重启 E256,1.782296429980885,0.4309647462584756
13500,当前重启 E256,1.7765564376657659,0.4323909309777347
13750,当前重启 E256,1.7695965550162576,0.43420659682967444
14000,当前重启 E256,1.76307504827326,0.4356213239106265
14250,当前重启 E256,1.776111288504167,0.4323565661907196
14500,当前重启 E256,1.7667926766655662,0.4360795319080353
14750,当前重启 E256,1.7520603916861794,0.4399743242697282
15000,当前重启 E256,1.760608597235246,0.43820448084311053
15250,当前重启 E256,1.76615356315266,0.43719641728834674
15500,当前重启 E256,1.7593664689497515,0.43873715129765595
15750,当前重启 E256,1.7704384110190652,0.4344299706545743
16000,当前重启 E256,1.7635551257566973,0.4366923895749179
16250,当前重启 E256,1.7634328278628262,0.4375286264853044
16500,当前重启 E256,1.7621528126976707,0.437580176375129
16750,当前重启 E256,1.7417227680032903,0.44271786646409467
17000,当前重启 E256,1.7360383597287266,0.44305579499764874
17250,当前重启 E256,1.7340291846882214,0.44498028267513623
17500,当前重启 E256,1.7365273887460881,0.44517502188682556
17750,当前重启 E256,1.7375205538489602,0.4456275051290339
18000,当前重启 E256,1.7441237297925083,0.4429641528563066
18250,当前重启 E256,1.7502464922991665,0.44004305655306036
18500,当前重启 E256,1.742333639751781,0.4418071752244776
18750,当前重启 E256,1.7389641349965876,0.4427178745920008
19000,当前重启 E256,1.7493779876015403,0.4405642774972049
19250,当前重启 E256,1.747561433098533,0.4420935538682071
19500,当前重启 E256,1.7329730770804666,0.4445163472132249
19750,当前重启 E256,1.7228058143095537,0.44703078269958496
20000,当前重启 E256,1.7227489406412297,0.44715105945413763
20250,当前重启 E256,1.7306351553310046,0.4464121948588978
20500,当前重启 E256,1.730028965256431,0.446795945817774
20750,当前重启 E256,1.7276608402078801,0.44735152613032947
21000,当前重启 E256,1.7223029245029797,0.44695059006864374
21250,当前重启 E256,1.7162052176215432,0.44857151129029016
21500,当前重启 E256,1.7102730816060847,0.4494421156969937
21750,当前重启 E256,1.7171549580313943,0.4488693529909307
22000,当前重启 E256,1.7207348455082287,0.44927028634331445
22250,当前重启 E256,1.7049926411021838,0.45302188938314264
22500,当前重启 E256,1.698520226912065,0.4565672955729745
22750,当前重启 E256,1.7025014703924006,0.4555076848376881
23000,当前重启 E256,1.7000441009348088,0.45495210452513263
23250,当前重启 E256,1.700926661491394,0.45411587032404815
23500,当前重启 E256,1.7055584950880571,0.45338273319331085
23750,当前重启 E256,1.6962959332899614,0.4549635567448356
24000,当前重启 E256,1.7017697420987217,0.45311352610588074
24250,当前重启 E256,1.7035073475404219,0.45232884179462085
24500,当前重启 E256,1.6932457360354336,0.456561568108472
24750,当前重启 E256,1.690850940617648,0.45866361260414124
25000,当前重启 E256,1.688313527540727,0.45823403921994293
25250,当前重启 E256,1.6969579241492532,0.4553816724907268
25500,当前重启 E256,1.6962116089734165,0.4555649594827132
25750,当前重启 E256,1.6935334422371604,0.45609763264656067
26000,当前重启 E256,1.6921982331709429,0.456584477966482
26250,当前重启 E256,1.6970154588872737,0.45585706559094513
26500,当前重启 E256,1.7063458616083318,0.452935971997001
26750,当前重启 E256,1.7080257589166814,0.45134941827167163
27000,当前重启 E256,1.6974594701420178,0.4551411135630174
27250,当前重启 E256,1.6891771880063144,0.45874952186237683
27500,当前重启 E256,1.682543776252053,0.46108067306605255
27750,当前重启 E256,1.6853025501424617,0.45997523990544403
28000,当前重启 E256,1.68958242373033,0.45859488303011114
28250,当前重启 E256,1.6794772364876487,0.4598606933246959
28500,当前重启 E256,1.6730400648984043,0.4614186097275127
28750,当前重启 E256,1.6790010062131016,0.459648769010197
29000,当前重启 E256,1.6781507296995684,0.45933947508985346
29250,当前重启 E256,1.6799896088513462,0.4585318782112815
29500,当前重启 E256,1.68990328095176,0.4570541463114999
29750,当前重启 E256,1.690197305245833,0.45909891345284204
30000,当前重启 E256,1.678810011256825,0.4614529718052257
30250,当前重启 E256,1.6875039772553877,0.45917337049137463
30500,当前重启 E256,1.6845106861808083,0.458514693108472
30750,当前重启 E256,1.6726002584804187,0.460759929635308
31000,当前重启 E256,1.6715453212911433,0.4611665904521942
